Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
VIR,"Vir Biotechnology Inc",47.76,0.7,+1.49%,47.5,48.09,45.29,706100,07/31/20
VIE,"Viela Bio Inc",36.61,-1.02,-2.71%,37.62,37.66,34.83,174700,07/31/20
VICR,"Vicor Cp",81.47,-1.25,-1.51%,82.7,83.09,78.97,159900,07/31/20
VIAV,"Viavi Solutions",13.83,0.09,+0.66%,13.74,13.83,13.55,1270300,07/31/20
VHC,"Virnetx Holding Corp",5.17,0.08,+1.57%,5.1,5.2,5.03,452000,07/31/20
VGR,"Vector Group Ltd",8.82,0.030000000000001,+0.34%,8.78,8.84,8.5,1036500,07/31/20
VG,"Vonage Holdings",11.95,0.29,+2.49%,11.74,12.1,11.62,2219600,07/31/20
VERU,"Veru Inc",2.83,-0.1,-3.41%,2.91,2.96,2.8,1012700,07/31/20
VERO,"Venus Concept Inc.",2.86,-0.13,-4.35%,2.96,3.04,2.85,46300,07/31/20
VERI,"Veritone Inc",11.32,-0.14,-1.22%,11.9,11.91,10.96,822900,07/31/20
VECO,"Veeco Instrument",13.52,-0.0099999999999998,-0.07%,13.65,13.75,13.15,712800,07/31/20
VEC,"Vectrus Inc",43.99,-1.41,-3.11%,45.08,45.58,42.73,175500,07/31/20
VCYT,"Veracyte Inc",35.67,2.46,+7.41%,34.56,36.42,34.13,1260900,07/31/20
VCRA,"Vocera Communications Inc",30.77,-0.21,-0.68%,30.91,31.25,30.11,372300,07/31/20
VCEL,"Vericel Corproation",16.49,-0.23,-1.38%,16.72,16.78,16.1,364400,07/31/20
VC,"Visteon Corp",72.61,-0.77,-1.05%,73.39,74.45,70.62,250300,07/31/20
VBTX,"Veritex Holdings",16.72,-0.44,-2.56%,17.08,17.13,16.24,270300,07/31/20
VBIV,"Vbi Vaccines Inc CS",4.07,-0.25,-5.79%,4.47,4.59,3.9,12393900,07/31/20
VAPO,"Vapotherm Inc",52.24,-0.95,-1.79%,53,54.06,51.75,406500,07/31/20
VALU,"Value Line Inc",24.65,-0.58,-2.30%,25,25,24.65,1100,07/31/20
VAC,"Marriot Vacations Worldwide Cor",84.66,-2.68,-3.07%,85.78,85.78,83.68,495900,07/31/20
UVV,"Universal Corp",42.16,-0.07,-0.17%,41.86,42.19,41.08,182400,07/31/20
UVSP,"Univest Corp of Penn",15.29,-0.19,-1.23%,15.33,15.38,14.93,164300,07/31/20
UVE,"Universal Insurance Holdings Inc",17.51,-0.09,-0.51%,17.41,17.59,16.75,252200,07/31/20
UUUU,"Energy Fuels Inc",1.71,0.02,+1.18%,1.67,1.765,1.64,1427100,07/31/20
UTMD,"Utah Medical Prod",81.5,0.29000000000001,+0.36%,81.6,82.96,77.87,18800,07/31/20
UTL,"Unitil Corp",43.15,-1.07,-2.42%,44.25,44.48,42.11,82100,07/31/20
UTI,"Universal Technical Institute Inc",7.43,0.06,+0.81%,7.35,7.45,7.18,266500,07/31/20
USX,"U.S. Xpress Enterprises Inc Cl A",9.16,-0.67,-6.82%,9.98,10.11,9.03,862900,07/31/20
USPH,"U.S. Physical Therapy",83.06,-0.19,-0.23%,82.94,84.92,81.16,100700,07/31/20
USNA,"Usana Health Sciences Inc",81.18,-0.17999999999999,-0.22%,81.27,81.27,78.9,125800,07/31/20
USLM,"U S Lime & Mineral",90.21,-3.85,-4.09%,93.18,93.3,88.5,17600,07/31/20
USD,"Ultra Semiconductors Proshares",64.54,-0.55999999999999,-0.86%,64.84,65.25,62.87,40900,07/31/20
USCR,"U S Concrete Inc",24.82,-0.72,-2.82%,25.47,25.5,23.83,290400,07/31/20
URGN,"Urogen Pharma Ltd",22.09,-1.15,-4.95%,23.35,23.45,21.8,142600,07/31/20
URBN,"Urban Outfitters Inc",16.54,0.29,+1.78%,16.27,16.57,15.84,1815000,07/31/20
UPWK,"Upwork Inc",15.02,0.15,+1.01%,15.08,15.08,14.26,1780700,07/31/20
UPLD,"Upland Software Inc",34.42,0.68,+2.02%,33.94,34.75,32.79,185000,07/31/20
UNTY,"Unity Bancorp Inc",12.51,-0.74,-5.58%,13.08,13.08,12.51,13800,07/31/20
UNIT,"Uniti Group Inc",9.9,0.08,+0.81%,9.83,9.9,9.53,986000,07/31/20
UNFI,"United Nat Foods",19.85,-0.58,-2.84%,20.49,20.84,19.61,959900,07/31/20
UNF,"Unifirst Corp",186.48,-1.7,-0.90%,186.71,188.42,183.85,104700,07/31/20
UMH,"Umh Properties",12.3,-0.08,-0.65%,12.3,12.33,12,162800,07/31/20
UMBF,"Ump Financial Corp",49.8,-0.14,-0.28%,49.55,50.1,48.82,407200,07/31/20
ULH,"Universal Logis Hld",18.37,0.45,+2.51%,18.07,18.83,17.91,92100,07/31/20
ULBI,"Ultralife Corp",7.1,-0.14,-1.93%,7.25,7.25,6.98,37000,07/31/20
UIS,"Unisys Corp",11.89,0.4,+3.48%,11.47,12.1,11.47,770100,07/31/20
UIHC,"United Insurance Hld",7.4,-0.09,-1.20%,7.43,7.51,7.23,85800,07/31/20
UHT,"Universal Health Realty Income Trust",69.58,1.48,+2.17%,67.65,69.81,65.53,81400,07/31/20
UFS,"Domtar Corp",20.99,0.029999999999998,+0.14%,20.76,21.01,20.3,1078700,07/31/20
UFPT,"U F P Tech Inc",43.14,-1.9,-4.22%,44.69,44.81,42.6,42700,07/31/20
UFPI,"Universal Forest Prd",58.22,-0.37,-0.63%,58.26,58.49,56.67,373300,07/31/20
UFI,"Unifi Inc",11.96,-0.43,-3.47%,12.35,12.39,11.72,85200,07/31/20
UFCS,"United Fire Group",25.37,-0.31,-1.21%,25.39,25.58,24.41,142000,07/31/20
UEIC,"Universal Elect IN",46.07,-1.65,-3.46%,47.25,48.47,45.35,66200,07/31/20
UEC,"Uranium Energy",0.9683,-0.0417,-4.13%,1.01,1.01,0.9601,931400,07/31/20
UE,"Urban Edge Properties",10.48,-0.22,-2.06%,10.61,10.61,10.01,671700,07/31/20
UCTT,"Ultra Clean Holdings",30.09,-0.72,-2.34%,30.61,31.1,29.85,1052000,07/31/20
UCBI,"United Comm Banks",17.93,-0.38,-2.08%,18.19,18.19,17.54,353900,07/31/20
UBX,"Unity Biotechnology Inc",9.43,-0.12,-1.26%,9.83,10.14,9.24,822300,07/31/20
UBSI,"United Bkshs Inc",26.32,-0.86,-3.16%,27.01,27.14,26.02,1588000,07/31/20
UBFO,"United Security Bcsh",6.26,-0.21,-3.25%,6.45,6.49,6.15,19300,07/31/20
UBA,"Urstadt Biddle Properties Inc",9.81,-0.18,-1.80%,9.89,9.95,9.46,240700,07/31/20
TYME,"Tyme Technologies",1.19,-0.03,-2.46%,1.2,1.25,1.185,234400,07/31/20
TXRH,"Texas Roadhouse Inc",56.19,0.019999999999996,+0.04%,56.08,56.96,55.09,1261200,07/31/20
TXMD,"Therapeuticsmd Inc",1.85,-0.1,-5.13%,1.92,1.94,1.76,5438900,07/31/20
TWST,"Twist Bioscience Corp",56.04,-1.81,-3.13%,58.45,58.87,54.38,377100,07/31/20
TWO,"Two Harbors Investments Corp",5.43,-0.11,-1.99%,5.54,5.57,5.34,3543300,07/31/20
TWNK,"Hostess Brands Inc",12.68,0.049999999999999,+0.40%,12.57,12.69,12.41,958900,07/31/20
TVTY,"Tivity Health",13.12,-0.4,-2.96%,13.55,13.6,12.81,775100,07/31/20
TUP,"Tupperware Corp",15.43,-0.09,-0.58%,15.35,16.13,15.21,3313800,07/31/20
TTMI,"TTM Technologies",12.31,-0.1,-0.81%,12.46,12.59,12.2,1191400,07/31/20
TTGT,"Techtarget Inc",36.29,0.019999999999996,+0.06%,36.31,36.54,35.45,269200,07/31/20
TTEK,"Tetra Tech Inc",88.65,-1.18,-1.31%,89.23,89.26,86.41,381700,07/31/20
TTEC,"Teletech Hlds",47.46,-0.29,-0.61%,47.76,47.85,46.65,108600,07/31/20
TSE,"Trinseo S.A.",21.7,-0.68,-3.04%,21.84,22.48,21.25,1046700,07/31/20
TSC,"Tristate Capital Hld",13.25,0.18,+1.38%,13.15,13.32,12.85,206000,07/31/20
TSBK,"Timberland Bancorp",16.66,-0.37,-2.17%,17.03,17.22,16.51,13300,07/31/20
TRWH,"Twin River Worldwide Holdings Inc",21.56,-1.6,-6.91%,23.25,23.25,21.36,138100,07/31/20
TRUP,"Trupanion Inc",50.57,0.13,+0.26%,50.34,50.79,49.28,338800,07/31/20
TRUE,"Truecar Inc",3.76,-0.12,-3.09%,3.84,3.95,3.53,999300,07/31/20
TRTX,"Tpg Re Finance Trust Inc",8.68,-0.050000000000001,-0.57%,8.74,9.08,8.57,591400,07/31/20
TRTN,"Triton International Ltd",31.47,-0.34,-1.07%,31.69,31.8,30.81,438300,07/31/20
TRST,"Trustco Bank Corp NY",5.79,-0.06,-1.03%,5.82,5.82,5.68,365300,07/31/20
TRS,"Trimas Corp",23.4,-0.75,-3.11%,24.06,24.76,22.96,221600,07/31/20
TROX,"Tronox Inc",7.62,0.02,+0.26%,7.51,8.16,7.51,2480800,07/31/20
TRNS,"Transcat Inc",27.9,-0.79,-2.75%,28.8,28.96,27,15600,07/31/20
TRNO,"Terreno Realty Corp",60.76,-0.42,-0.69%,60.86,61.05,59.28,449500,07/31/20
TRMK,"Trustmark Corp",22.52,-0.21,-0.92%,22.5,22.65,21.99,410900,07/31/20
TRHC,"Tabula Rasa Healthcare Inc",56.2,-0.23999999999999,-0.43%,56.77,57.34,55.34,212400,07/31/20
TREC,"Trecora Resources",5.75,-0.0099999999999998,-0.17%,5.71,5.78,5.39,47400,07/31/20
TRC,"Tejon Ranch Company",14.35,-0.52,-3.50%,14.77,14.79,14.13,89800,07/31/20
TR,"Tootsie Roll Industries",31.7,0.4,+1.28%,31.18,31.75,30.86,409900,07/31/20
TPTX,"Turning Point Therapeutics Inc",59.23,-2.16,-3.52%,61.18,61.55,57.18,308600,07/31/20
TPRE,"Third Point Reinsurance Ltd Company",7.79,-0.02,-0.26%,7.73,7.86,7.61,398500,07/31/20
TPIC,"Tpi Composites Inc",25.58,-0.41,-1.58%,26,26.12,25.17,290100,07/31/20
TPH,"Tri Pointe Homes Inc",16.72,-0.15,-0.89%,16.86,16.97,16.52,1783200,07/31/20
TPCO,"Tribune Publishing Company",9.75,-0.02,-0.20%,9.7,9.97,9.49,72100,07/31/20
TPC,"Tutor Perini Corp",11.77,-0.55,-4.46%,12.29,12.53,11.55,578300,07/31/20
TPB,"Turning Point Brands",32.88,-0.22,-0.66%,32.78,33.03,31.12,189900,07/31/20
TOWN,"Towne Bank",17.64,-0.31,-1.73%,17.75,17.86,17.15,202800,07/31/20
TNET,"Trinet Group Inc",66,-1.78,-2.63%,67.03,67.28,64.63,411700,07/31/20
TNC,"Tennant Company",66.62,0.16000000000001,+0.24%,65.64,66.71,64.31,113900,07/31/20
TNAV,"Telenav Inc",5.18,-0.24,-4.43%,5.4,5.43,5.09,136200,07/31/20
TMST,"Timken Steel Corp",3.67,-0.12,-3.17%,3.72,3.82,3.5,1423100,07/31/20
TMP,Tompkinstrustco,64.53,-1.43,-2.17%,65.14,65.14,62.58,46700,07/31/20
TMHC,"Taylor Morrison Home Corp",23.45,-0.46,-1.92%,24.19,24.2,22.94,1608900,07/31/20
TMDX,"Transmedics Group Inc",18.06,-0.21,-1.15%,18.33,18.68,17.98,90200,07/31/20
TLYS,"Tilly's Inc",6.01,-0.15,-2.44%,6.06,6.12,5.81,309900,07/31/20
TITN,"Titan Machinery Inc",10.86,-0.46,-4.06%,11.27,11.31,10.44,129700,07/31/20
TISI,"Team Inc",3.95,0.05,+1.28%,3.85,3.95,3.75,354000,07/31/20
TIPT,"Tiptree Fncl Cl A",5.05,-0.12,-2.32%,5.07,5.25,5.05,29100,07/31/20
TILE,"Interface Inc",7.98,-0.049999999999999,-0.62%,8.01,8.1,7.89,531200,07/31/20
THRM,"Gentherm Inc",38.77,-1.2,-3.00%,39.8,39.8,38.19,165400,07/31/20
THR,"Thermon Group Holdings Inc",13.55,-0.59,-4.17%,13.96,14.1,13.4,177900,07/31/20
THFF,"First Finl Corp [In]",33.43,-0.41,-1.21%,33.62,33.97,32.61,80100,07/31/20
THC,"Tenet Healthcare Corp",26.44,-0.39,-1.45%,26.93,27,25.64,1530200,07/31/20
TH,"Target Hospitality Corp",1.43,-0.09,-5.92%,1.5,1.5399,1.4101,196700,07/31/20
TGTX,"Tg Therapeuticscmn",19.58,-0.42,-2.10%,20.05,20.17,18.65,1730200,07/31/20
TGNA,"Tegna Inc",11.78,-0.22,-1.83%,11.89,12,11.56,1275100,07/31/20
TGI,"Triumph Group",6.78,0.11,+1.65%,6.64,6.82,6.45,994700,07/31/20
TGH,"Textainer Group Holdings",8.44,-0.69,-7.56%,9,9,8.32,218800,07/31/20
TG,"Tredegar Corp",15.88,-0.039999999999999,-0.25%,15.79,16,15.52,187700,07/31/20
TEX,"Terex Corp",18.85,-0.75,-3.83%,20.14,20.25,18,1143000,07/31/20
TERP,"Terraform Power Inc",19.35,-1.46,-7.02%,21.1,21.26,19.35,32881200,07/30/20
TENB,"Tenable Holdings Inc",33.93,1.96,+6.13%,33.9,34.63,32.83,3823600,07/31/20
TEN,"Tenneco Automotive",7.41,-0.05,-0.67%,7.37,7.49,7.05,929600,07/31/20
TELL,"Tellurian Inc",0.8918,-0.0707,-7.35%,0.969,0.9698,0.865,12146000,07/31/20
TELA,"Tela Bio Inc",11.64,-0.57,-4.67%,12.17,12.21,11.5,131700,07/31/20
TDW,"Tidewater Inc",6.22,0.04,+0.65%,6.08,6.44,5.85,231800,07/31/20
TCX,"Tucows Inc Cl A",60.51,-1.38,-2.23%,61.81,61.81,59.85,30700,07/31/20
TCS,"The Container Store Group Inc",3.45,-0.25,-6.76%,3.65,3.66,3.36,331600,07/31/20
TCRR,"Tcr2 Therapeutics Inc",16.75,-1.15,-6.42%,17.91,18.04,16.57,399700,07/31/20
TCMD,"Tactile Systems Technology Inc",40.98,-1.82,-4.25%,42.77,42.98,39.84,198100,07/31/20
TCI,"Transcontinental Realty Investors",23.5,0.5,+2.17%,23.86,24.44,23.5,2000,07/31/20
TCFC,"The Community Fin Cp",22.52,0.28,+1.26%,22,22.52,20.88,13900,07/31/20
TCDA,"Tricida Inc",13.38,0.11,+0.83%,13.56,13.91,13.22,710200,07/31/20
TCBK,"Trico Bancshares",28,-0.5,-1.75%,28.25,28.97,27.4,81700,07/31/20
TCBI,"Texas Capital Bncsh",33.22,-0.69,-2.03%,33.7,33.7,32.18,460900,07/31/20
TBPH,"Theravance Bio Ord",19.42,-0.77,-3.81%,20.13,20.3,19.21,349600,07/31/20
TBNK,"Territorial Bancorp",21.97,1.11,+5.32%,20.86,22.08,20.86,27300,07/31/20
TBK,"Triumph Bancorp",26.2,0,0.00%,26.26,26.56,25.55,163400,07/31/20
TBIO,"Translate Bio Inc",15.19,-0.44,-2.82%,16.05,16.4,15.01,1551100,07/31/20
TBI,"Trueblue Inc",15.43,-0.21,-1.34%,15.48,15.6,15,251000,07/31/20
TBBK,"The Bancorp Inc",9.43,0.65,+7.40%,9.35,10.58,9.02,774100,07/31/20
TAST,"Carrols Rstrnt Group",6.14,-0.17,-2.69%,6.31,6.33,6.01,377400,07/31/20
TARA,"Artara Therapeutics Inc.",24.94,-0.84,-3.26%,25.49,25.49,24.21,21600,07/31/20
TALO,"Talos Energy Inc",6.81,-0.17,-2.44%,6.95,7.02,6.63,834000,07/31/20
TACO,"Del Taco Rest",7.65,0.38,+5.23%,7.48,7.7,7.31,798000,07/31/20
SYX,"Systemax Inc",22.41,0.059999999999999,+0.27%,22.22,22.48,21.96,56700,07/31/20
SYRS,"Syros Pharmaceuticals",9.49,-0.6,-5.95%,10.03,10.04,9.31,182200,07/31/20
SYNA,"Synaptics Inc",80.02,0.86999999999999,+1.10%,79.9,80.08,78.04,290600,07/31/20
SYKE,"Sykes Enterprises",27.46,-0.009999999999998,-0.04%,27.33,27.47,27.07,205100,07/31/20
SYBT,"Stock Yards Bancorp",39.09,-0.98999999999999,-2.47%,40.05,40.05,38.5,73600,07/31/20
SXT,"Sensient Technologies Corp",52.21,-0.34,-0.65%,51.65,52.28,50.51,367300,07/31/20
SXI,"Standex International Corp",53.55,-0.86,-1.58%,53.97,53.97,51.74,59700,07/31/20
SXC,"Suncoke Energy Inc",3.19,-0.03,-0.93%,3.19,3.22,3.1,752000,07/31/20
SWX,"Southwest Gas Corp",69.64,-0.20999999999999,-0.30%,69.33,69.88,68.44,266000,07/31/20
SWTX,"Springworks Therapeutics Inc",42.63,-0.23999999999999,-0.56%,42.97,43.76,41.59,184600,07/31/20
SWN,"Southwestern Energy Company",2.43,-0.06,-2.41%,2.5,2.6,2.34,14004800,07/31/20
